epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,120.516,1.03208,0.98636,1.03467,1,0.96595,0.99467,0.69451,1.04241,1.38828,0.96172,0.000218624,0.000218624,0.000218624
18,127.143,1.10774,1.01728,1.07269,1,0.96595,0.99467,0.69451,1.04241,1.38828,0.96172,0.000225556,0.000225556,0.000225556
19,133.795,1.05034,0.95342,1.03982,0.99568,0.98889,0.99478,0.70047,1.01987,1.32881,0.94691,0.000231696,0.000231696,0.000231696
20,140.679,0.96689,0.89634,1.01253,0.99568,0.98889,0.99478,0.70047,1.01987,1.32881,0.94691,0.000237044,0.000237044,0.000237044
21,147.916,1.02823,0.8832,1.02725,0.98299,0.97778,0.99201,0.70869,1.00314,1.32314,0.93802,0.0002416,0.0002416,0.0002416
22,154.47,0.95127,0.85485,0.99133,0.98299,0.97778,0.99201,0.70869,1.00314,1.32314,0.93802,0.000245364,0.000245364,0.000245364
23,161.255,0.98946,0.84487,1.00393,0.97756,0.97778,0.98338,0.72399,0.97286,1.31906,0.92677,0.000248336,0.000248336,0.000248336
24,167.815,0.92505,0.84173,1.0202,0.97756,0.97778,0.98338,0.72399,0.97286,1.31906,0.92677,0.000250516,0.000250516,0.000250516
25,174.506,0.93892,0.81994,1.00077,0.97756,0.9682,0.97867,0.73425,0.94015,1.33781,0.91982,0.000251904,0.000251904,0.000251904
26,180.806,0.95056,0.83153,1.00505,0.97756,0.9682,0.97867,0.73425,0.94015,1.33781,0.91982,0.0002525,0.0002525,0.0002525
27,187.384,0.92092,0.79468,0.98816,0.98839,0.96667,0.97793,0.73381,0.91571,1.31067,0.91216,0.000252304,0.000252304,0.000252304
28,193.898,0.97061,0.81142,1.05784,0.98839,0.96667,0.97793,0.73381,0.91571,1.31067,0.91216,0.000251316,0.000251316,0.000251316
29,200.896,1.00909,0.82326,1.07419,0.98847,0.95248,0.9753,0.73412,0.89648,1.2739,0.90535,0.000249536,0.000249536,0.000249536
30,209.038,0.95306,0.78115,1.00211,0.98847,0.95248,0.9753,0.73412,0.89648,1.2739,0.90535,0.000246964,0.000246964,0.000246964
31,217.51,0.90338,0.78113,1.00769,0.97682,0.93636,0.97302,0.73065,0.88777,1.23781,0.89987,0.0002436,0.0002436,0.0002436
32,229.061,0.93328,0.77139,0.99571,0.97682,0.93636,0.97302,0.73065,0.88777,1.23781,0.89987,0.000239444,0.000239444,0.000239444
33,237.088,0.87539,0.7427,0.98658,0.97684,0.93714,0.97321,0.73637,0.85024,1.20219,0.88651,0.000234496,0.000234496,0.000234496
34,244.16,0.85733,0.75299,0.98178,0.97684,0.93714,0.97321,0.73637,0.85024,1.20219,0.88651,0.000228756,0.000228756,0.000228756
35,251.161,0.84708,0.7211,0.95929,0.98983,0.93333,0.98147,0.75441,0.80876,1.16345,0.88049,0.000222224,0.000222224,0.000222224
36,259.008,0.87173,0.77854,1.01406,0.98983,0.93333,0.98147,0.75441,0.80876,1.16345,0.88049,0.0002149,0.0002149,0.0002149
37,266.763,0.86273,0.74125,0.9724,0.97727,0.95565,0.98358,0.75673,0.78775,1.12044,0.87693,0.000206784,0.000206784,0.000206784
38,274.005,0.8707,0.71759,0.99203,0.97727,0.95565,0.98358,0.75673,0.78775,1.12044,0.87693,0.000197876,0.000197876,0.000197876
39,280.863,0.82754,0.7209,0.96188,0.98859,0.96267,0.98804,0.76825,0.75933,1.06926,0.86998,0.000188176,0.000188176,0.000188176
40,287.917,0.84941,0.76686,0.95398,0.98859,0.96267,0.98804,0.76825,0.75933,1.06926,0.86998,0.000177684,0.000177684,0.000177684
41,295.106,0.73906,0.79194,0.91278,0.9886,0.96342,0.98911,0.78339,0.75613,1.02717,0.86636,0.0001664,0.0001664,0.0001664
